put 'users', 'row101', 'name:first', 'Ethan'
put 'users', 'row101', 'name:last', 'Nguyen'
put 'users', 'row101', 'age', '32'
put 'users', 'row101', 'address', 'Atlanta'

put 'users', 'row102', 'name:first', 'Sophia'
put 'users', 'row102', 'name:last', 'Liu'
put 'users', 'row102', 'age', '28'
put 'users', 'row102', 'address', 'Dallas'

put 'users', 'row103', 'name:first', 'William'
put 'users', 'row103', 'name:last', 'Garcia'
put 'users', 'row103', 'age', '35'
put 'users', 'row103', 'address', 'Phoenix'

put 'users', 'row104', 'name:first', 'Olivia'
put 'users', 'row104', 'name:last', 'Chen'
put 'users', 'row104', 'age', '40'
put 'users', 'row104', 'address', 'San Diego'

put 'users', 'row105', 'name:first', 'Liam'
put 'users', 'row105', 'name:last', 'Nguyen'
put 'users', 'row105', 'age', '25'
put 'users', 'row105', 'address', 'Seattle'

put 'users', 'row106', 'name:first', 'Emma'
put 'users', 'row106', 'name:last', 'Kim'
put 'users', 'row106', 'age', '37'
put 'users', 'row106', 'address', 'Boston'

put 'users', 'row107', 'name:first', 'Noah'
put 'users', 'row107', 'name:last', 'Wang'
put 'users', 'row107', 'age', '30'
put 'users', 'row107', 'address', 'Houston'

put 'users', 'row108', 'name:first', 'Ava'
put 'users', 'row108', 'name:last', 'Liu'
put 'users', 'row108', 'age', '33'
put 'users', 'row108', 'address', 'San Francisco'

put 'users', 'row109', 'name:first', 'James'
put 'users', 'row109', 'name:last', 'Singh'
put 'users', 'row109', 'age', '45'
put 'users', 'row109', 'address', 'Los Angeles'

put 'users', 'row110', 'name:first', 'Isabella'
put 'users', 'row110', 'name:last', 'Wong'
put 'users', 'row110', 'age', '29'
put 'users', 'row110', 'address', 'Chicago'

put 'users', 'row111', 'name:first', 'Logan'
put 'users', 'row111', 'name:last', 'Kim'
put 'users', 'row111', 'age', '34'
put 'users', 'row111', 'address', 'Miami'

put 'users', 'row112', 'name:first', 'Mia'
put 'users', 'row112', 'name:last', 'Gupta'
put 'users', 'row112', 'age', '31'
put 'users', 'row112', 'address', 'New York'

put 'users', 'row113', 'name:first', 'Mason'
put 'users', 'row113', 'name:last', 'Patel'
put 'users', 'row113', 'age', '42'
put 'users', 'row113', 'address', 'San Antonio'

put 'users', 'row114', 'name:first', 'Charlotte'
put 'users', 'row114', 'name:last', 'Hernandez'
put 'users', 'row114', 'age', '27'
put 'users', 'row114', 'address', 'Philadelphia'

put 'users', 'row115', 'name:first', 'Lucas'
