ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json|577e8b9f8d64a4e144566956131b382b|2024-04-24|03:59:02|1713945542|shopping_pos|7.09|1|Jewess LLC|33.047770|-114.182875
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json|3672655f478465f187451b5da40e18fb|2024-04-25|03:12:02|1714029122|entertainment|368.12|1|Frami Group|32.326766|-114.159977
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json|c6648821cbeed3109965341a3468aa41|2024-04-24|02:08:13|1713938893|gas_transport|885.06|1|Friesen-Stamm|32.651206|-113.832789
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json|fc07d7c81cfb2c79fa4abbb269f0f451|2024-04-24|01:51:03|1713937863|grocery_pos|805.24|1|McDermott-Weimann|32.307911|-114.723862
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json|f5205e3eb964028098a98ba421c81d22|2024-04-24|02:37:02|1713940622|shopping_pos|534.75|1|Mayert Group|32.480933|-115.321506
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json|12966a8064f81a3cf1b33b33be5a01ae|2024-04-25|22:43:30|1714099410|home|203.53|1|Collier LLC|33.255535|-114.663194
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json|cceeab7907b6196ba688f0b688b99011|2024-04-25|23:41:48|1714102908|home|245.05|1|Reilly LLC|33.058279|-114.066371
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json|712dbee70f8dc943253d36ea9d7ee861|2024-04-25|23:43:08|1714102988|personal_care|20.02|1|Gottlieb-Hansen|31.656477|-114.253823
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json|a41444adafd688c7c59240dbb2d088b2|2024-01-21|05:07:20|1705831640|grocery_pos|55.87|0|Kuhic Inc|33.339777|-114.013055
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json|aebc9705e268d4fb5ae9ebd060740210|2024-02-08|11:41:47|1707410507|misc_net|82.33|0|Rippin, Kub and Mann|33.016820|-114.439804
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json|8ab2c05755e4b4a707b48f4896da281d|2024-01-27|10:29:01|1706369341|grocery_pos|66.60|0|McDermott-Weimann|31.883475|-115.212583
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json|342f6da8f577017247036a7a2914460d|2024-01-24|03:12:42|1706083962|grocery_pos|94.23|0|Huel, Hammes and Witting|33.163524|-115.465704
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json|abf52d0b70638f56a09c6770fb363c88|2024-01-19|04:58:37|1705658317|grocery_net|46.76|0|Rowe-Vandervort|32.634494|-114.877894
